23,"BLE-based systems are suited to low-budget since the cost of each locator point is significantly cheaper to alternatives such as wireless access points for Wi-Fi. Additionally, the cost of the individual locator tags is relatively low (approximately in the $60 range) and the battery life is relatively long (up to approximately 7 years) which significantly reduces the on-going costs of the solution."
24,Hybrid systems are suitable cost-effective alternatives to a complete Wi-Fi based solution. Bluetooth locators are used in areas of the Wi-Fi network that are not RTLS-grade which may be more cost-effective than redesigning the existing Wi-Fi network while maintaining the required level of location accuracy from the RTLS system. Finer cost details will have to evaluated through assessing the specific number of locators / wireless access points that would need to be installed compared to other solutions.
25,"Wi-Fi based solutions are a more costly RTLS solution due to a few main reasons. The cost of each wireless access point is high (in the $2000-$3000 range), a lot of these access points are required in the facility to achieve the requirements of an RTLS-grade WLAN, the locator tags for staff are more expensive compared to alternatives such as BLE and have a shorter battery life (increasing long-term cost of the solution)."
26,"RF solutions provide a reliable and low-cost solution for RTLS. While not able to provide as precise zoning as some other technologies, will still be suitable for this project's requirements"
27,"RF solutions provide a reliable and low-cost solution for RTLS. While not able to provide as precise zoning as some other technologies, will still be suitable for this project's requirements"
28,"BLE-based systems are suited to low-budget since the cost of each locator point is significantly cheaper to alternatives such as wireless access points for Wi-Fi. Additionally, the cost of the individual locator tags is relatively low (approximately in the $60 range) and the battery life is relatively long (up to approximately 7 years) which significantly reduces the on-going costs of the solution."
29,Hybrid systems are suitable cost-effective alternatives to a complete Wi-Fi based solution. Bluetooth locators are used in areas of the Wi-Fi network that are not RTLS-grade which may be more cost-effective than redesigning the existing Wi-Fi network while maintaining the required level of location accuracy from the RTLS system. Finer cost details will have to evaluated through assessing the specific number of locators / wireless access points that would need to be installed compared to other solutions.
30,"Wi-Fi based solutions are a more costly RTLS solution due to a few main reasons. The cost of each wireless access point is high (in the $2000-$3000 range), a lot of these access points are required in the facility to achieve the requirements of an RTLS-grade WLAN, the locator tags for staff are more expensive compared to alternatives such as BLE and have a shorter battery life (increasing long-term cost of the solution)."
31,"RF solutions provide a reliable and low-cost solution for RTLS. While not able to provide as precise zoning as some other technologies, will still be suitable for this project's requirements"
32,"DECT solutions provide a reliable and low-cost solution for RTLS. While not able to provide as precise zoning as some other technologies, will still be suitable for this project's requirements"
33,"BLE-based systems are suited to low-budget since the cost of each locator point is significantly cheaper to alternatives such as wireless access points for Wi-Fi. Additionally, the cost of the individual locator tags is relatively low (approximately in the $60 range) and the battery life is relatively long (up to approximately 7 years) which significantly reduces the on-going costs of the solution. However, since there is an existing RTLS-grade Wi-Fi network, the higher operating costs might be comparable to the cost of installing an entirely new BLE locator network, therefore further budgeting work for the individual project should be performed to compare the two solutions more effectively."
35,"Wi-Fi based solutions are a more costly RTLS solution due to more expensive locator tags and access points compared to other technologies such as BLE. However, the overall cost of the solution will be significantly reduced since there is already an RTLS-grade network in the facility. Further budgeting evaluation should be conducted to find which solution would provide better value to the client long-term, since the Wi-FI solution will have higher long-term costs but alternatives might have higher initial costs to install their locator networks."
36,"Although RF solutions provide a reliable and low-cost solution for RTLS, utilising the existing RTLS-grade network would generally be a better solution."
37,"Although DECT solutions provide a reliable and low-cost solution for RTLS, utilising the existing RTLS-grade network would generally be a better solution."
38,"Since BLE is battery-powered, it will be much easier to install in areas that are difficult to access or already have lots of existing cabling/services infrastructure."
39,"If there is a lot of existing cabling or services infrastructure, installing this solution type may be more difficult."
40,"If there is a lot of existing cabling or services infrastructure, installing this solution type may be more difficult."
41,"RF antennas can be daisy-chained which will reduce the amount of cabling required to implement the solution, so this may offer some benefit in areas that are difficult to access or already have a lot of existing cabling/services infrastructure."
42,"If there is a lot of existing cabling or services infrastructure, installing this solution type may be more difficult."
43,"Since intended locating devices to be deployed in this facility are bluetooth-capable handsets, utilising this capability and implementing a BLE-based RTLS is recommended, since there is already the hardware capability for connecting the locating devices to the beacons."
44,"Since the intended locating devices to be deployed in this facility are bluetooth and Wi-Fi capable, utilising this capability and implementing a Wi-Fi BLE Hybrid-based RTLS system is recommended, as it would allow seamless support of the two RTLS technologies on a single device."
45,"Since the handsets to be deployed in this facility are Wi-Fi capable, utilising this capability and implementing a Wi-Fi-based RTLS is recommended, since there is already the hardware capability for connecting the locating devices to the wireless access points."
46,"Since the handsets to be deployed in this facility are Wi-Fi capable, utilising this capability and implementing a Wi-Fi-based RTLS is recommended, since there is already the hardware capability for connecting the locating devices to the wireless access points."
47,"Since the handsets to be deployed in this facility are DECT handsets, utilising this capability and implementing a DECT-based RTLS is recommended, since this provides the hardware capability to connect the DECT handsets to the locating beacons within the facility."
48,"Since the handsets to be deployed in this facility are RF handsets, utilising this capability and implementing a RF-based RTLS may be beneficial, since this provides the hardware capability to connect the DECT handsets to the locating beacons within the facility."
60,"Using a personal tag/pendant is a good budget-friendly option if there is already an existing deployment of handsets that and there is no design intention of integrating these handsets (or new handsets) into the mobile duress system. Note: The tag or pendant that is purchased for the solution has to match the technology type of the RTLS infrastructure, so it is unlikely that one tag would be able to be used in two different types of RTLS. This is particularly relevant in cases where staff may be expected to traverse between sites that have different RTLS technologies but would be expected to use the same tag, since the tag would need to be able to communicate to both types of beacons or access points used in those two sites."
61,"Using a personal tag/pendant is a good budget-friendly option if there is already an existing deployment of handsets that and there is no design intention of integrating these handsets (or new handsets) into the mobile duress system. Note: The tag or pendant that is purchased for the solution has to match the technology type of the RTLS infrastructure, so it is unlikely that one tag would be able to be used in two different types of RTLS. This is particularly relevant in cases where staff may be expected to traverse between sites that have different RTLS technologies but would be expected to use the same tag, since the tag would need to be able to communicate to both types of beacons or access points used in those two sites."
62,"Using a personal tag/pendant is a good budget-friendly option if there is already an existing deployment of handsets that and there is no design intention of integrating these handsets (or new handsets) into the mobile duress system. Note: The tag or pendant that is purchased for the solution has to match the technology type of the RTLS infrastructure, so it is unlikely that one tag would be able to be used in two different types of RTLS. This is particularly relevant in cases where staff may be expected to traverse between sites that have different RTLS technologies but would be expected to use the same tag, since the tag would need to be able to communicate to both types of beacons or access points used in those two sites."
63,"Using a personal tag/pendant is a good budget-friendly option if there is already an existing deployment of handsets that and there is no design intention of integrating these handsets (or new handsets) into the mobile duress system. Note: The tag or pendant that is purchased for the solution has to match the technology type of the RTLS infrastructure, so it is unlikely that one tag would be able to be used in two different types of RTLS. This is particularly relevant in cases where staff may be expected to traverse between sites that have different RTLS technologies but would be expected to use the same tag, since the tag would need to be able to communicate to both types of beacons or access points used in those two sites."
64,"Using a personal tag/pendant is a good budget-friendly option if there is already an existing deployment of handsets that and there is no design intention of integrating these handsets (or new handsets) into the mobile duress system. Note: The tag or pendant that is purchased for the solution has to match the technology type of the RTLS infrastructure, so it is unlikely that one tag would be able to be used in two different types of RTLS. This is particularly relevant in cases where staff may be expected to traverse between sites that have different RTLS technologies but would be expected to use the same tag, since the tag would need to be able to communicate to both types of beacons or access points used in those two sites."
49,"The thick walls within the facility do not heavily affect the BLE solution, since locators are typically placed with high density, e.g. one per room."
59,"The thick walls within the facility will impact the effectiveness of a solution that utilises Wi-Fi access points for its real-time location tracking, since there are higher signal quality and data rate requirements for Wi-Fi based RTLS to operate effectively. Though a hybrid solution would not be as heavily affected as a solution that only uses Wi-Fi, there will still be some measurable negative impact on performance."
50,"The thick walls within the facility will impact the effectiveness of a Wi-Fi based solution, since there are higher signal quality and data rate requirements for Wi-Fi based RTLS to operate effectively."
51,"The thick walls within the facility do not heavily affect the RF solution, since the signal frequencies for communication are not as heavily attenuated as other technology types."
54,"High numbers of glass panels within internal areas will negatively impact the signal propagation of RTLS which utilises Wi-Fi, therefore negatively impacting its performance."
55,"High numbers of glass panels within internal areas will negatively impact the signal propagation of RTLS which utilises Wi-Fi, therefore negatively impacting its performance."
56,"If the RF frequencies being used are infrared, then the performance will be limited in bright outdoor locations due to high amounts of signal interference with ambient RF radiation."
57,"Plant rooms have high amounts of electromagnetic interference due to plant, therefore RTLS solutions utilising Wi-Fi in particular may perform poorly due to their higher signal quality requirements compared to other technologies."
58,"Plant rooms have high amounts of electromagnetic interference due to plant, therefore RTLS solutions utilising Wi-Fi in particular may perform poorly due to their higher signal quality requirements compared to other technologies."
